Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Tress of the Emerald Sea,Brandon Sanderson,Michael Kramer (Narrator),9781938570421,audio,read,2023/11/10,2023/12/15,2023/11/10-2023/12/15,1,"",,,,,,,,,"",,"",No
Scorpia,Anthony Horowitz,"",9780439862257,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Butcher's Crossing,John Williams,"",9781590171981,paperback,to-read,2024/09/06,"","",0,"",,,,,,,,,"",,"",No
Convenience Store Woman,Sayaka Murata,Ginny Tapley Takemori (Translator),9781846276842,paperback,read,2024/01/21,2024/01/24,2024/01/21-2024/01/24,1,"",,,,,,,,,"",,"",No
Love in the Time of Cholera,Gabriel García Márquez,Edith Grossman (Translator),9780241968567,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
The Lies of Locke Lamora,Scott Lynch,"",9780553588941,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Rithmatist,Brandon Sanderson,"",9781447266150,paperback,read,2022/02/16,2022/02/16,2022/02/13-2022/02/16,1,"",,,,,,,,,"",,"",No
Stormbreaker,Anthony Horowitz,"","",paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Half-Blood Prince,J.K. Rowling,Mary GrandPré (Illustrator),9780439784542,hardcover,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
The Secret History,Donna Tartt,"",9780140167771,paperback,read,2024/01/25,2024/02/14,2024/01/25-2024/02/14,1,"",,,,,,,,,"",,"",No
Katabasis,R.F. Kuang,"",9780063021471,hardcover,to-read,2024/04/08,"","",0,"",,,,,,,,,"",,"",No
I Wore My Blackest Hair,Carlina Duan,"",9781503941977,paperback,read,2024/03/27,2024/09/04,2024/03/27-2024/09/04,1,"",,,,,,,,,"",,"",No
